key,title,grouped
pop,Population,0
medianHouseInc,Median Household Income ($),0
meanHouseInc,Mean Household Income ($),0
houseSocSecPct,Household w/Social Security Inc (%),0
houseRetirIncPct,Household w/Retirement Inc (%),0
houseFoodStampPct,Household w/Food Stamps (%),0
povFamAllPct,Familes: Poverty Income (%),0
medianAge,Median Age,0
unemployPct,Unemployment (%),0
workHomePct,Work from Home (%),0
meanCommute,Mean Commute (min),0
indust,Industry,1
employer,Employer,1
householdInc,Household Income ($),1
popGender,Population (gender),1
age,Age,1
race,Race,1
ethnicity,Ethnicity,1
ed,Education,1
birth,Birth Origin,1
housingUnits,Housing Units,0
medianHomeVal,Median Home Value ($),0
ownerVacPct,Vacant Owner Units (%),0
rentalVacPct,Vacant Rental Units (%),0
singleUnitPct,Single Unit Dwellings (%),0
mobileHomePct,Mobile Home Dwellings (%),0
houseAge,Housing Age,1
houseSize,Housing Size,1
occupant,Occupant Type,1
houseValue,Home Value ($),1
mortgage,Mortgage,1
monthlyCostMort,Monthly Housing Cost (mortgage),1
medianMortMonth,Median Housing Cost/Mo (mortgage)($),0
monthRent,Monthly Rent,1
medianRent,Median Monthly Rent ($),0
