date,housetype,price
Feb-12,Northeast,255600
Mar-12,Northeast,259100
Apr-12,Northeast,273600
May-12,Northeast,290300
Jun-12,Northeast,301700
Jul-12,Northeast,291300
Aug-12,Northeast,290700
Sep-12,Northeast,277500
Oct-12,Northeast,271900
Nov-12,Northeast,282800
Dec-12,Northeast,284700
Jan-13,Northeast,267000
Feb-13,Northeast,268400
Feb-12,Midwest,145000
Mar-12,Midwest,161800
Apr-12,Midwest,165700
May-12,Midwest,173600
Jun-12,Midwest,178100
Jul-12,Midwest,176100
Aug-12,Midwest,173500
Sep-12,Midwest,169900
Oct-12,Midwest,168600
Nov-12,Midwest,160800
Dec-12,Midwest,170200
Jan-13,Midwest,154000
Feb-13,Midwest,153900
Feb-12,South,157000
Mar-12,South,165700
Apr-12,South,174900
May-12,South,186000
Jun-12,South,184100
Jul-12,South,175900
Aug-12,South,173500
Sep-12,South,162100
Oct-12,South,175700
Nov-12,South,183200
Dec-12,South,181500
Jan-13,South,170800
Feb-13,South,181300
Feb-12,West,206300
Mar-12,West,225400
Apr-12,West,232000
May-12,West,243500
Jun-12,West,229300
Jul-12,West,247100
Aug-12,West,249400
Sep-12,West,253100
Oct-12,West,257500
Nov-12,West,262200
Dec-12,West,257800
Jan-13,West,248900
Feb-13,West,259500
