date,symbol,price
Feb-12,Single Family,202100
Mar-12,Single Family,212500
Apr-12,Single Family,222200
May-12,Single Family,229500
Jun-12,Single Family,238900
Jul-12,Single Family,237000
Aug-12,Single Family,233700
Sep-12,Single Family,227300
Oct-12,Single Family,224700
Nov-12,Single Family,227800
Dec-12,Single Family,230700
Jan-13,Single Family,218600
Feb-13,Single Family,221800
Feb-12,Condo,198000
Mar-12,Condo,208500
Apr-12,Condo,218100
May-12,Condo,230500
Jun-12,Condo,232100
Jul-12,Condo,229300
Aug-12,Condo,228600
Sep-12,Condo,221000
Oct-12,Condo,223100
Nov-12,Condo,228400
Dec-12,Condo,229500
Jan-13,Condo,215800
Feb-13,Condo,221200
