date,housetype,price
Feb-12,Northeast,264900
Mar-12,Northeast,271000
Apr-12,Northeast,273800
May-12,Northeast,278200
Jun-12,Northeast,293200
Jul-12,Northeast,291900
Aug-12,Northeast,287600
Sep-12,Northeast,274300
Oct-12,Northeast,269100
Nov-12,Northeast,267300
Dec-12,Northeast,270500
Jan-13,Northeast,267900
Feb-13,Northeast,279400
Feb-12,Midwest,148100
Mar-12,Midwest,160100
Apr-12,Midwest,169100
May-12,Midwest,178400
Jun-12,Midwest,190700
Jul-12,Midwest,186600
Aug-12,Midwest,184500
Sep-12,Midwest,176700
Oct-12,Midwest,172300
Nov-12,Midwest,173200
Dec-12,Midwest,172400
Jan-13,Midwest,159600
Feb-13,Midwest,159200
Feb-12,South,181200
Mar-12,South,192600
Apr-12,South,201200
May-12,South,209200
Jun-12,South,216200
Jul-12,South,211300
Aug-12,South,206600
Sep-12,South,198100
Oct-12,South,197000
Nov-12,South,204400
Dec-12,South,209000
Jan-13,South,192300
Feb-13,South,196300
Feb-12,West,250300
Mar-12,West,260000
Apr-12,West,277400
May-12,West,282900
Jun-12,West,289600
Jul-12,West,294100
Aug-12,West,292500
Sep-12,West,296000
Oct-12,West,294900
Nov-12,West,296200
Dec-12,West,299700
Jan-13,West,290500
Feb-13,West,290000
