FIPS,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS
1001,Autauga,Alabama,1,1
1003,Baldwin,Alabama,1,3
1005,Barbour,Alabama,1,5
1007,Bibb,Alabama,1,7
1009,Blount,Alabama,1,9
1011,Bullock,Alabama,1,11
1013,Butler,Alabama,1,13
1015,Calhoun,Alabama,1,15
1017,Chambers,Alabama,1,17
1019,Cherokee,Alabama,1,19
1021,Chilton,Alabama,1,21
1023,Choctaw,Alabama,1,23
1025,Clarke,Alabama,1,25
1027,Clay,Alabama,1,27
1029,Cleburne,Alabama,1,29
1031,Coffee,Alabama,1,31
1033,Colbert,Alabama,1,33
1035,Conecuh,Alabama,1,35
1037,Coosa,Alabama,1,37
1039,Covington,Alabama,1,39
1041,Crenshaw,Alabama,1,41
1043,Cullman,Alabama,1,43
1045,Dale,Alabama,1,45
1047,Dallas,Alabama,1,47
1049,DeKalb,Alabama,1,49
1051,Elmore,Alabama,1,51
1053,Escambia,Alabama,1,53
1055,Etowah,Alabama,1,55
1057,Fayette,Alabama,1,57
1059,Franklin,Alabama,1,59
1061,Geneva,Alabama,1,61
1063,Greene,Alabama,1,63
1065,Hale,Alabama,1,65
1067,Henry,Alabama,1,67
1069,Houston,Alabama,1,69
1071,Jackson,Alabama,1,71
1073,Jefferson,Alabama,1,73
1075,Lamar,Alabama,1,75
1077,Lauderdale,Alabama,1,77
1079,Lawrence,Alabama,1,79
1081,Lee,Alabama,1,81
1083,Limestone,Alabama,1,83
1085,Lowndes,Alabama,1,85
1087,Macon,Alabama,1,87
1089,Madison,Alabama,1,89
1091,Marengo,Alabama,1,91
1093,Marion,Alabama,1,93
1095,Marshall,Alabama,1,95
1097,Mobile,Alabama,1,97
1099,Monroe,Alabama,1,99
1101,Montgomery,Alabama,1,101
1103,Morgan,Alabama,1,103
1105,Perry,Alabama,1,105
1107,Pickens,Alabama,1,107
1109,Pike,Alabama,1,109
1111,Randolph,Alabama,1,111
1113,Russell,Alabama,1,113
1115,St. Clair,Alabama,1,115
1117,Shelby,Alabama,1,117
1119,Sumter,Alabama,1,119
1121,Talladega,Alabama,1,121
1123,Tallapoosa,Alabama,1,123
1125,Tuscaloosa,Alabama,1,125
1127,Walker,Alabama,1,127
1129,Washington,Alabama,1,129
1131,Wilcox,Alabama,1,131
1133,Winston,Alabama,1,133
2013,Aleutians East,Alaska,2,13
2016,Aleutians West,Alaska,2,16
2020,Anchorage,Alaska,2,20
2050,Bethel,Alaska,2,50
2060,Bristol Bay,Alaska,2,60
2068,Denali,Alaska,2,68
2070,Dillingham,Alaska,2,70
2090,Fairbanks North Star,Alaska,2,90
2100,Haines,Alaska,2,100
2110,Juneau,Alaska,2,110
2122,Kenai Peninsula,Alaska,2,122
2130,Ketchikan Gateway,Alaska,2,130
2150,Kodiak Island,Alaska,2,150
2164,Lake and Peninsula,Alaska,2,164
2170,Matanuska-Susitna,Alaska,2,170
2180,Nome,Alaska,2,180
2185,North Slope,Alaska,2,185
2188,Northwest Arctic,Alaska,2,188
2201,Prince of Wales-Outer Ketchikan,Alaska,2,201
2220,Sitka,Alaska,2,220
2232,Skagway-Hoonah-Angoon,Alaska,2,232
2240,Southeast Fairbanks,Alaska,2,240
2261,Valdez-Cordova,Alaska,2,261
2270,Wade Hampton,Alaska,2,270
2280,Wrangell-Petersburg,Alaska,2,280
2282,Yakutat,Alaska,2,282
2290,Yukon-Koyukuk,Alaska,2,290
4001,Apache,Arizona,4,1
4003,Cochise,Arizona,4,3
4005,Coconino,Arizona,4,5
4007,Gila,Arizona,4,7
4009,Graham,Arizona,4,9
4011,Greenlee,Arizona,4,11
4012,La Paz,Arizona,4,12
4013,Maricopa,Arizona,4,13
4015,Mohave,Arizona,4,15
4017,Navajo,Arizona,4,17
4019,Pima,Arizona,4,19
4021,Pinal,Arizona,4,21
4023,Santa Cruz,Arizona,4,23
4025,Yavapai,Arizona,4,25
4027,Yuma,Arizona,4,27
5001,Arkansas,Arkansas,5,1
5003,Ashley,Arkansas,5,3
5005,Baxter,Arkansas,5,5
5007,Benton,Arkansas,5,7
5009,Boone,Arkansas,5,9
5011,Bradley,Arkansas,5,11
5013,Calhoun,Arkansas,5,13
5015,Carroll,Arkansas,5,15
5017,Chicot,Arkansas,5,17
5019,Clark,Arkansas,5,19
