Year,Qtr,Home Price Index,Data Source,Nominal Median,CPI,CPI %_,Inflation measure,Real HPI Growth,Real HPI,Real Home Price,Rent Index,Adjusted HPI,Adjusted Rent Index,,,,,,,,,,,
1970,Q1,20.76,Freddie Mac CMHPI,"$28,476",61.771,,CPI - All items less shelter,,113.72,"$155,994",,,,,,,,,,,,,,
1970,Q2,21.17,Freddie Mac CMHPI,"$29,042",62.551,1.263%,CPI - All items less shelter,0.726%,114.55,"$157,127",,,,,,,,,,,,,,
1970,Q3,21.43,Freddie Mac CMHPI,"$29,397",63.175,0.998%,CPI - All items less shelter,0.225%,114.81,"$157,480",,,,,,,,,,,,,,
1970,Q4,21.14,Freddie Mac CMHPI,"$29,000",63.955,1.235%,CPI - All items less shelter,-2.586%,111.84,"$153,408",,,,,,,,,,,,,,
1971,Q1,21.20,Freddie Mac CMHPI,"$29,076",64.423,0.732%,CPI - All items less shelter,-0.469%,111.31,"$152,687",,,,,,,,,,,,,,
1971,Q2,21.60,Freddie Mac CMHPI,"$29,625",65.515,1.695%,CPI - All items less shelter,0.194%,111.53,"$152,984",,,,,,,,,,,,,,
1971,Q3,20.89,Freddie Mac CMHPI,"$28,653",65.983,0.714%,CPI - All items less shelter,-3.995%,107.07,"$146,872",,,,,,,,,,,,,,
1971,Q4,20.83,Freddie Mac CMHPI,"$28,569",66.139,0.236%,CPI - All items less shelter,-0.531%,106.50,"$146,092",,,,,,,,,,,,,,
1972,Q1,21.23,Freddie Mac CMHPI,"$29,126",66.763,0.943%,CPI - All items less shelter,1.009%,107.58,"$147,566",,,,,,,,,,,,,,
1972,Q2,22.03,Freddie Mac CMHPI,"$30,217",67.230,0.699%,CPI - All items less shelter,3.044%,110.85,"$152,058",,,,,,,,,,,,,,
1972,Q3,21.89,Freddie Mac CMHPI,"$30,022",67.698,0.696%,CPI - All items less shelter,-1.339%,109.37,"$150,021",,,,,,,,,,,,,,
1972,Q4,22.31,Freddie Mac CMHPI,"$30,606",68.478,1.152%,CPI - All items less shelter,0.790%,110.23,"$151,207",,,,,,,,,,,,,,
1973,Q1,23.00,Freddie Mac CMHPI,"$31,544",69.414,1.367%,CPI - All items less shelter,1.699%,112.10,"$153,775",,,,,,,,,,,,,,
1973,Q2,23.88,Freddie Mac CMHPI,"$32,753",71.286,2.697%,CPI - All items less shelter,1.135%,113.38,"$155,520",,,,,,,,,,,,,,
1973,Q3,24.15,Freddie Mac CMHPI,"$33,124",73.314,2.845%,CPI - All items less shelter,-1.709%,111.44,"$152,862",,,,,,,,,,,,,,
1973,Q4,24.83,Freddie Mac CMHPI,"$34,063",74.406,1.489%,CPI - All items less shelter,1.343%,112.94,"$154,915",,,,,,,,,,,,,,
1974,Q1,25.38,Freddie Mac CMHPI,"$34,815",76.746,3.145%,CPI - All items less shelter,-0.936%,111.88,"$153,464",,,,,,,,,,,,,,
1974,Q2,25.97,Freddie Mac CMHPI,"$35,626",79.086,3.049%,CPI - All items less shelter,-0.718%,111.07,"$152,361",,,,,,,,,,,,,,
1974,Q3,26.08,Freddie Mac CMHPI,"$35,770",81.425,2.958%,CPI - All items less shelter,-2.554%,108.24,"$148,470",,,,,,,,,,,,,,
1974,Q4,26.58,Freddie Mac CMHPI,"$36,463",83.765,2.874%,CPI - All items less shelter,-0.936%,107.22,"$147,080",,,,,,,,,,,,,,
1975,Q1,26.66,FHFA HPI,"$36,564",85.169,1.676%,CPI - All items less shelter,-1.398%,105.72,"$145,024",,,,,,,,,,,,,,
1975,Q2,27.12,FHFA HPI,"$37,206",86.261,1.282%,CPI - All items less shelter,0.473%,106.22,"$145,709",,,,,,,,,,,,,,
1975,Q3,27.06,FHFA HPI,"$37,116",88.289,2.351%,CPI - All items less shelter,-2.593%,103.47,"$141,932",,,,,,,,,,,,,,
1975,Q4,27.46,FHFA HPI,"$37,668",89.693,1.590%,CPI - All items less shelter,-0.104%,103.36,"$141,784",,,,,,,,,,,,,,
1976,Q1,27.99,FHFA HPI,"$38,394",90.629,1.044%,CPI - All items less shelter,0.883%,104.28,"$143,036",,,,,,,,,,,,,,
1976,Q2,28.84,FHFA HPI,"$39,563",91.721,1.205%,CPI - All items less shelter,1.841%,106.20,"$145,669",,,,,,,,,,,,,,
1976,Q3,29.11,FHFA HPI,"$39,929",93.281,1.701%,CPI - All items less shelter,-0.776%,105.37,"$144,539",,,,,,,,,,,,,,
1976,Q4,29.64,FHFA HPI,"$40,661",94.216,1.002%,CPI - All items less shelter,0.830%,106.25,"$145,738",,,,,,,,,,,,,,
1977,Q1,30.62,FHFA HPI,"$42,004",96.088,1.987%,CPI - All items less shelter,1.317%,107.64,"$147,658",,,,,,,,,,,,,,
1977,Q2,31.77,FHFA HPI,"$43,575",97.960,1.948%,CPI - All items less shelter,1.793%,109.57,"$150,305",,,,,,,,,,,,,,
1977,Q3,32.65,FHFA HPI,"$44,781",99.364,1.433%,CPI - All items less shelter,1.333%,111.04,"$152,308",,,,,,,,,,,,,,
1977,Q4,33.68,FHFA HPI,"$46,202",100.300,0.942%,CPI-U Research Series,2.232%,113.51,"$155,708",,,,,,,,,,,,,,
1978,Q1,34.75,FHFA HPI,"$47,671",101.300,0.997%,CPI-U Research Series,2.183%,115.99,"$159,107",,,,,,,,,,,,,,
1978,Q2,36.01,FHFA HPI,"$49,392",103.533,2.205%,CPI-U Research Series,1.406%,117.62,"$161,344",,,,,,,,,,,,,,
1978,Q3,37.11,FHFA HPI,"$50,910",105.367,1.771%,CPI-U Research Series,1.301%,119.15,"$163,443",,,,Inflation-adjusted prices are adjusted by the CPI-U-RS.,,,,,,,,,,
1978,Q4,38.27,FHFA HPI,"$52,493",107.467,1.993%,CPI-U Research Series,1.117%,120.48,"$165,269",,,,Prior to Q4 1977 they are adjusted by the CPI - All items less shelter.,,,,,,,,,,
1979,Q1,40.00,FHFA HPI,"$54,868",109.933,2.295%,CPI-U Research Series,2.229%,123.17,"$168,952",,,,,,,,,,,,,,
1979,Q2,41.13,FHFA HPI,"$56,415",112.833,2.638%,CPI-U Research Series,0.182%,123.39,"$169,260",,,,The CPI-U-RS (Research Series) is available at http://www.clevelandfed.org/Research/data/US-Inflation/chartsdata/,,,,,,,,,,
1979,Q3,42.03,FHFA HPI,"$57,656",115.867,2.688%,CPI-U Research Series,-0.488%,122.79,"$168,434",,,,The CPI all items less shelter is available at http://data.bls.gov/cgi-bin/srgate by entering series id CUUR0000SA0L2.,,,,,,,,,,
1979,Q4,42.81,FHFA HPI,"$58,724",118.800,2.532%,CPI-U Research Series,-0.680%,121.96,"$167,288",,,,,,,,,,,,,,
1980,Q1,43.72,FHFA HPI,"$59,971",122.533,3.143%,CPI-U Research Series,-1.018%,120.71,"$165,585",,,,,,,,,,,,,,
1980,Q2,44.20,FHFA HPI,"$60,631",125.533,2.448%,CPI-U Research Series,-1.348%,119.09,"$163,352",,,,,,,,,,,,,,
1980,Q3,45.63,FHFA HPI,"$62,598",128.533,2.390%,CPI-U Research Series,0.855%,120.10,"$164,748",,,,,,,,,,,,,,
1980,Q4,45.75,FHFA HPI,"$62,754",131.633,2.412%,CPI-U Research Series,-2.163%,117.51,"$161,185",,,,,,,,,,,,,,
1981,Q1,46.22,FHFA HPI,"$63,402",135.333,2.811%,CPI-U Research Series,-1.779%,115.42,"$158,318",,,,,,,,,,,,,,
1981,Q2,47.06,FHFA HPI,"$64,553",137.767,1.798%,CPI-U Research Series,0.018%,115.44,"$158,346",,,,,,,,,,,,,,
1981,Q3,47.64,FHFA HPI,"$65,351",140.533,2.008%,CPI-U Research Series,-0.773%,114.55,"$157,123",,,,,,,,,,,,,,
1981,Q4,47.83,FHFA HPI,"$65,609",143.033,1.779%,CPI-U Research Series,-1.384%,112.96,"$154,948",,,,,,,,,,,,,,
1982,Q1,48.42,FHFA HPI,"$66,412",144.833,1.258%,CPI-U Research Series,-0.034%,112.92,"$154,896",,,,,,,,,,,,,,
1982,Q2,48.59,FHFA HPI,"$66,646",146.367,1.059%,CPI-U Research Series,-0.707%,112.12,"$153,802",,,,,,,,,,,,,,
1982,Q3,48.39,FHFA HPI,"$66,376",148.833,1.685%,CPI-U Research Series,-2.090%,109.78,"$150,587",,,,,,,,,,,,,,
1982,Q4,48.70,FHFA HPI,"$66,796",150.467,1.097%,CPI-U Research Series,-0.465%,109.27,"$149,887",,,,,,,,,,,,,,
1983,Q1,49.65,FHFA HPI,"$68,103",151.433,0.642%,CPI-U Research Series,1.315%,110.71,"$151,857",100.900,53.919,52.744,,,,,,,,,,,
1983,Q2,50.19,FHFA HPI,"$68,853",153.167,1.145%,CPI-U Research Series,-0.044%,110.66,"$151,791",101.900,54.512,53.267,,,,,,,,,,,
1983,Q3,50.54,FHFA HPI,"$69,321",154.633,0.958%,CPI-U Research Series,-0.278%,110.35,"$151,368",103.000,54.883,53.842,,,,,,,,,,,
1983,Q4,50.72,FHFA HPI,"$69,579",156.100,0.948%,CPI-U Research Series,-0.576%,109.71,"$150,496",104.200,55.087,54.469,,,,,,,,,,,
1984,Q1,51.50,FHFA HPI,"$70,646",158.267,1.388%,CPI-U Research Series,0.146%,109.87,"$150,716",105.100,55.932,54.940,,,,,,,,,,,
1984,Q2,52.34,FHFA HPI,"$71,792",159.700,0.906%,CPI-U Research Series,0.716%,110.66,"$151,795",106.500,56.839,55.672,,,,,,,,,,,
1984,Q3,52.82,FHFA HPI,"$72,451",160.933,0.772%,CPI-U Research Series,0.147%,110.82,"$152,017",108.100,57.361,56.508,,,,,,,,,,,
1984,Q4,53.37,FHFA HPI,"$73,213",162.333,0.870%,CPI-U Research Series,0.181%,111.02,"$152,293",109.400,57.964,57.188,,,,,,,,,,,
1985,Q1,54.12,FHFA HPI,"$74,232",163.767,0.883%,CPI-U Research Series,0.510%,111.59,"$153,069",110.700,58.771,57.867,,,,,,,,,,,
1985,Q2,54.96,FHFA HPI,"$75,390",165.200,0.875%,CPI-U Research Series,0.684%,112.35,"$154,116",112.500,59.688,58.808,,,,,,,,,,,
1985,Q3,55.91,FHFA HPI,"$76,697",166.267,0.646%,CPI-U Research Series,1.088%,113.58,"$155,793",114.300,60.723,59.749,,,,,,,,,,,
1985,Q4,56.60,FHFA HPI,"$77,633",167.867,0.962%,CPI-U Research Series,0.257%,113.87,"$156,195",115.900,61.464,60.585,,,,,,,,,,,
1986,Q1,57.64,FHFA HPI,"$79,066",168.733,0.516%,CPI-U Research Series,1.330%,115.38,"$158,272",117.000,62.598,61.160,,,,,,,,,,,
1986,Q2,58.85,FHFA HPI,"$80,721",167.833,-0.533%,CPI-U Research Series,2.627%,118.41,"$162,429",118.900,63.909,62.154,,,,,,,,,,,
1986,Q3,59.82,FHFA HPI,"$82,059",168.800,0.576%,CPI-U Research Series,1.081%,119.69,"$164,185",119.900,64.968,62.676,,,,,,,,,,,
1986,Q4,60.78,FHFA HPI,"$83,378",169.900,0.652%,CPI-U Research Series,0.956%,120.84,"$165,755",121.500,66.012,63.513,,,,,,,,,,,
1987,Q1,62.03,S&P/Case-Shiller national HPI,"$85,087",171.867,1.158%,CPI-U Research Series,0.892%,121.92,"$167,234",122.500,67.365,64.036,,,,,,,,,,,
