year,qtr,price,,,,,,,
1970,Q1,155994.00,,,,,,,
1970,Q2,157127.00,,,,,,,
1970,Q3,157480.00,,,,,,,
1970,Q4,153408.00,,,,,,,
1971,Q1,152687.00,,,,,,,
1971,Q2,152984.00,,,,,,,
1971,Q3,146872.00,,,,,,,
1971,Q4,146092.00,,,,,,,
1972,Q1,147566.00,,,,,,,
1972,Q2,152058.00,,,,,,,
1972,Q3,150021.00,,,,,,,
1972,Q4,151207.00,,,,,,,
1973,Q1,153775.00,,,,,,,
1973,Q2,155520.00,,,,,,,
1973,Q3,152862.00,,,,,,,
1973,Q4,154915.00,,,,,,,
1974,Q1,153464.00,,,,,,,
1974,Q2,152361.00,,,,,,,
1974,Q3,148470.00,,,,,,,
1974,Q4,147080.00,,,,,,,
1975,Q1,145024.00,,,,,,,
1975,Q2,145709.00,,,,,,,
1975,Q3,141932.00,,,,,,,
1975,Q4,141784.00,,,,,,,
1976,Q1,143036.00,,,,,,,
1976,Q2,145669.00,,,,,,,
1976,Q3,144539.00,,,,,,,
1976,Q4,145738.00,,,,,,,
1977,Q1,147658.00,,,,,,,
1977,Q2,150305.00,,,,,,,
1977,Q3,152308.00,,,,,,,
1977,Q4,155708.00,,,,,,,
1978,Q1,159107.00,,,,,,,
1978,Q2,161344.00,,,,,,,
1978,Q3,163443.00,,,,,,,
1978,Q4,165269.00,,,,,,,
1979,Q1,168952.00,,,,,,,
1979,Q2,169260.00,,,,,,,
1979,Q3,168434.00,,,,,,,
1979,Q4,167288.00,,,,,,,
1980,Q1,165585.00,,,,,,,
1980,Q2,163352.00,,,,,,,
1980,Q3,164748.00,,,,,,,
1980,Q4,161185.00,,,,,,,
1981,Q1,158318.00,,,,,,,
1981,Q2,158346.00,,,,,,,
1981,Q3,157123.00,,,,,,,
1981,Q4,154948.00,,,,,,,
1982,Q1,154896.00,,,,,,,
1982,Q2,153802.00,,,,,,,
1982,Q3,150587.00,,,,,,,
1982,Q4,149887.00,,,,,,,
1983,Q1,151857.00,,,,,,,
1983,Q2,151791.00,,,,,,,
1983,Q3,151368.00,,,,,,,
1983,Q4,150496.00,,,,,,,
1984,Q1,150716.00,,,,,,,
1984,Q2,151795.00,,,,,,,
1984,Q3,152017.00,,,,,,,
1984,Q4,152293.00,,,,,,,
1985,Q1,153069.00,,,,,,,
1985,Q2,154116.00,,,,,,,
1985,Q3,155793.00,,,,,,,
1985,Q4,156195.00,,,,,,,
1986,Q1,158272.00,,,,,,,
1986,Q2,162429.00,,,,,,,
1986,Q3,164185.00,,,,,,,
1986,Q4,165755.00,,,,,,,
1987,Q1,167234.00,,,,,,,
1987,Q2,171036.00,,,,,,,
1987,Q3,172710.00,,,,,,,
1987,Q4,173539.00,,,,,,,
1988,Q1,173613.00,,,,,,,
1988,Q2,178531.00,,,,,,,
1988,Q3,179782.00,,,,,,,
1988,Q4,179937.00,,,,,,,
1989,Q1,181230.00,,,,,,,
1989,Q2,183388.00,,,,,,,
1989,Q3,184045.00,,,,,,,
1989,Q4,182826.00,,,,,,,
1990,Q1,180435.00,,,,,,,
1990,Q2,180799.00,,,,,,,
1990,Q3,176445.00,,,,,,,
1990,Q4,170791.00,,,,,,,
1991,Q1,167206.00,,,,,,,
1991,Q2,169472.00,,,,,,,
1991,Q3,169379.00,,,,,,,
1991,Q4,167021.00,,,,,,,
1992,Q1,165297.00,,,,,,,
1992,Q2,166837.00,,,,,,,
1992,Q3,165625.00,,,,,,,
1992,Q4,162867.00,,,,,,,
1993,Q1,161439.00,,,,,,,
1993,Q2,162517.00,,,,,,,
1993,Q3,163060.00,,,,,,,
1993,Q4,161657.00,,,,,,,
1994,Q1,162382.00,,,,,,,
1994,Q2,164911.00,,,,,,,
1994,Q3,163967.00,,,,,,,
1994,Q4,162512.00,,,,,,,
1995,Q1,161223.00,,,,,,,
1995,Q2,163165.00,,,,,,,
1995,Q3,163606.00,,,,,,,
1995,Q4,162169.00,,,,,,,
1996,Q1,161088.00,,,,,,,
1996,Q2,162739.00,,,,,,,
1996,Q3,163093.00,,,,,,,
1996,Q4,160727.00,,,,,,,
1997,Q1,161124.00,,,,,,,
1997,Q2,164165.00,,,,,,,
1997,Q3,165010.00,,,,,,,
1997,Q4,165015.00,,,,,,,
1998,Q1,166554.00,,,,,,,
1998,Q2,171098.00,,,,,,,
1998,Q3,173799.00,,,,,,,
1998,Q4,174444.00,,,,,,,
1999,Q1,176233.00,,,,,,,
1999,Q2,180057.00,,,,,,,
1999,Q3,182986.00,,,,,,,
1999,Q4,184022.00,,,,,,,
2000,Q1,185489.00,,,,,,,
2000,Q2,191046.00,,,,,,,
2000,Q3,193989.00,,,,,,,
2000,Q4,195504.00,,,,,,,
2001,Q1,196102.00,,,,,,,
2001,Q2,200873.00,,,,,,,
2001,Q3,205316.00,,,,,,,
2001,Q4,206850.00,,,,,,,
2002,Q1,209259.00,,,,,,,
2002,Q2,215124.00,,,,,,,
2002,Q3,220827.00,,,,,,,
2002,Q4,223755.00,,,,,,,
2003,Q1,224823.00,,,,,,,
2003,Q2,231595.00,,,,,,,
2003,Q3,237109.00,,,,,,,
2003,Q4,242880.00,,,,,,,
2004,Q1,247572.00,,,,,,,
2004,Q2,256979.00,,,,,,,
2004,Q3,264671.00,,,,,,,
2004,Q4,269379.00,,,,,,,
2005,Q1,278260.00,,,,,,,
2005,Q2,288707.00,,,,,,,
2005,Q3,294765.00,,,,,,,
2005,Q4,298271.00,,,,,,,
2006,Q1,299329.00,,,,,,,
2006,Q2,298756.00,,,,,,,
2006,Q3,292961.00,,,,,,,
2006,Q4,291604.00,,,,,,,
2007,Q1,286305.00,,,,,,,
2007,Q2,280361.00,,,,,,,
2007,Q3,273770.00,,,,,,,
2007,Q4,256459.00,,,,,,,
2008,Q1,236447.00,,,,,,,
2008,Q2,228306.00,,,,,,,
2008,Q3,216744.00,,,,,,,
2008,Q4,205968.00,,,,,,,
2009,Q1,192042.00,,,,,,,
2009,Q2,197116.00,,,,,,,
2009,Q3,201728.00,,,,,,,
2009,Q4,198116.00,,,,,,,
2010,Q1,191798.00,,,,,,,
2010,Q2,201061.00,,,,,,,
2010,Q3,196465.00,,,,,,,
2010,Q4,188256.00,,,,,,,
2011,Q1,178497.00,,,,,,,
2011,Q2,183877.00,,,,,,,
2011,Q3,182633.00,,,,,,,
2011,Q4,175177.00,,,,,,,
2012,Q1,171356.00,,,,,,,
2012,Q2,183209.00,,,,,,,
2012,Q3,186100.00,,,,,,,
2012,Q4,,,,,,,,
