FIPS,STATE_FIPS,COUNTY_FIPS,STATE,COUNTY,AVERAGE_LISTING_PRICE,MEDIAN_SALES_PRICE
38073,38,73,North Dakota,Ransom,36450,-
20071,20,71,Kansas,Greeley,-,-
17017,17,17,Illinois,Cass,94969,-
55037,55,37,Wisconsin,Florence,197370,-
55097,55,97,Wisconsin,Portage,174857,-
31001,31,1,Nebraska,Adams,147504,-
5083,5,83,Arkansas,Logan,136815,-
12009,12,9,Florida,Brevard,254240,197000
48095,48,95,Texas,Concho,1461748,-
17029,17,29,Illinois,Coles,153761,-
48073,48,73,Texas,Cherokee,258826,-
38005,38,5,North Dakota,Benson,-,-
41067,41,67,Oregon,Washington,351657,285000
48167,48,167,Texas,Galveston,290952,92406
19027,19,27,Iowa,Carroll,153785,-
21173,21,173,Kentucky,Montgomery,155668,-
51037,51,37,Virginia,Charlotte,203687,-
22085,22,85,Louisiana,Sabine,113236,-
41041,41,41,Oregon,Lincoln,320668,-
26035,26,35,Michigan,Clare,93580,-
31013,31,13,Nebraska,Box Butte,290390,-
12083,12,83,Florida,Marion,256439,158000
24013,24,13,Maryland,Carroll,398862,332000
48241,48,241,Texas,Jasper,179152,-
39051,39,51,Ohio,Fulton,141252,125500
21131,21,131,Kentucky,Leslie,80850,-
1031,1,31,Alabama,Coffee,184571,-
13079,13,79,Georgia,Crawford,178284,-
49017,49,17,Utah,Garfield,250083,-
31093,31,93,Nebraska,Howard,436633,-
19131,19,131,Iowa,Mitchell,119576,-
18017,18,17,Indiana,Cass,93941,-
48189,48,189,Texas,Hale,120928,-
30049,30,49,Montana,Lewis and Clark,305752,-
20065,20,65,Kansas,Graham,640000,-
51740,51,740,Virginia,Portsmouth,-,-
49057,49,57,Utah,Weber,229990,96314
5075,5,75,Arkansas,Lawrence,90009,-
25003,25,3,Massachusetts,Berkshire,516260,177500
36039,36,39,New York,Greene,326510,179200
48033,48,33,Texas,Borden,-,-
21165,21,165,Kentucky,Menifee,73971,-
42013,42,13,Pennsylvania,Blair,187104,-
39099,39,99,Ohio,Mahoning,128288,78000
19091,19,91,Iowa,Humboldt,110577,-
8099,8,99,Colorado,Prowers,89836,-
45069,45,69,South Carolina,Marlboro,113055,-
31027,31,27,Nebraska,Cedar,90233,-
48385,48,385,Texas,Real,240448,-
47061,47,61,Tennessee,Grundy,161161,51000
8089,8,89,Colorado,Otero,136733,-
16063,16,63,Idaho,Lincoln,445498,-
40057,40,57,Oklahoma,Harmon,192043,-
5011,5,11,Arkansas,Bradley,93439,-
8027,8,27,Colorado,Custer,461552,-
8023,8,23,Colorado,Costilla,115270,-
48083,48,83,Texas,Coleman,160953,-
5097,5,97,Arkansas,Montgomery,240908,-
39175,39,175,Ohio,Wyandot,114949,-
6065,6,65,California,Riverside,491761,405000
29093,29,93,Missouri,Iron,108732,-
20017,20,17,Kansas,Chase,68474,-
40049,40,49,Oklahoma,Garvin,189117,-
48233,48,233,Texas,Hutchinson,104770,-
24041,24,41,Maryland,Talbot,944799,357500
40107,40,107,Oklahoma,Okfuskee,203387,-
55003,55,3,Wisconsin,Ashland,201840,-
25011,25,11,Massachusetts,Franklin,253671,190900
29175,29,175,Missouri,Randolph,114372,-
12011,12,11,Florida,Broward,489220,285000
2016,2,16,Alaska,Aleutians West,410000,-
37195,37,195,North Carolina,Wilson,160310,-
38061,38,61,North Dakota,Mountrail,302888,-
38021,38,21,North Dakota,Dickey,252149,-
40017,40,17,Oklahoma,Canadian,211101,-
18123,18,123,Indiana,Perry,78809,-
55087,55,87,Wisconsin,Outagamie,186970,-
39071,39,71,Ohio,Highland,119288,84300
5047,5,47,Arkansas,Franklin,179818,-
37109,37,109,North Carolina,Lincoln,331118,-
55095,55,95,Wisconsin,Polk,175416,-
5141,5,141,Arkansas,Van Buren,168455,-
18133,18,133,Indiana,Putnam,141223,-
51043,51,43,Virginia,Clarke,756335,-
46081,46,81,South Dakota,Lawrence,291483,-
27111,27,111,Minnesota,Otter Tail,249776,-
13007,13,7,Georgia,Baker,75614,-
8075,8,75,Colorado,Logan,191678,-
48493,48,493,Texas,Wilson,263916,-
47189,47,189,Tennessee,Wilson,273205,179300
12045,12,45,Florida,Gulf,379874,215500
42091,42,91,Pennsylvania,Montgomery,364190,299000
22113,22,113,Louisiana,Vermilion,143125,-
28049,28,49,Mississippi,Hinds,178188,-
26139,26,139,Michigan,Ottawa,272453,142500
26075,26,75,Michigan,Jackson,151756,108150
6109,6,109,California,Tuolumne,287367,363750
48429,48,429,Texas,Stephens,191321,-
37105,37,105,North Carolina,Lee,201272,-
26111,26,111,Michigan,Midland,145023,-
48077,48,77,Texas,Clay,189092,-
17107,17,107,Illinois,Logan,94557,-
20073,20,73,Kansas,Greenwood,242799,-
