State,County,Average Listing Price,Median Sales Price
Hawaii,,"$1,014,643 ","$522,000 "
Hawaii,Kauai,"$1,384,712 ","$530,000 "
Hawaii,Maui,"$1,304,742 ","$616,500 "
Hawaii,Honolulu,"$873,145 ","$482,500 "
Hawaii,Hawaii,"$850,349 ","$410,000 "
Hawaii,Kalawao,"$169,000 ",-
District Of Columbia,,"$905,642 ","$720,000 "
District Of Columbia,Woodland-Normanstone Terrace,"$6,562,857 ",-
District Of Columbia,Embassy Row,"$4,437,738 ",-
District Of Columbia,Foxhall Crescent,"$3,495,500 ","$825,000 "
District Of Columbia,Palisades,"$3,314,247 ","$828,500 "
District Of Columbia,Kalorama Heights,"$3,167,210 ","$749,000 "
District Of Columbia,Spring Valley,"$2,347,288 ","$1,775,000 "
District Of Columbia,Georgetown,"$2,273,322 ","$1,370,000 "
District Of Columbia,Wesley Heights,"$2,193,061 ","$1,117,050 "
District Of Columbia,North Portal Estates,"$1,560,000 ",-
District Of Columbia,Cleveland Park,"$1,411,259 ","$381,250 "
District Of Columbia,Burleith - Hillandale,"$1,393,368 ","$830,000 "
District Of Columbia,McMillan,"$1,295,000 ",-
District Of Columbia,Foxhall Village,"$1,257,488 ","$835,000 "
District Of Columbia,Hawthorne,"$1,248,571 ","$655,000 "
District Of Columbia,Dupont Circle,"$1,187,408 ","$457,500 "
District Of Columbia,Upper Chevy Chase,"$1,182,714 ","$1,074,500 "
District Of Columbia,Barnaby Woods,"$1,148,793 ","$904,500 "
District Of Columbia,Tenleytown,"$1,097,828 ","$595,500 "
District Of Columbia,Forest Hills,"$1,065,033 ","$492,100 "
District Of Columbia,Chevy Chase,"$1,057,710 ","$784,000 "
District Of Columbia,Crestwood,"$1,049,011 ","$909,000 "
District Of Columbia,Friendship Heights,"$1,043,408 ","$695,750 "
District Of Columbia,American University Park,"$1,012,163 ","$882,500 "
District Of Columbia,Woodley Park,"$936,750 ","$761,250 "
District Of Columbia,Foggy Bottom,"$933,590 ","$225,000 "
District Of Columbia,Washington Mall,"$899,293 ",-
District Of Columbia,West End,"$836,806 ","$403,500 "
District Of Columbia,Colonial Village,"$835,464 ","$839,000 "
District Of Columbia,Adams Morgan,"$778,680 ","$556,000 "
District Of Columbia,Near Northeast,"$776,815 ","$393,175 "
District Of Columbia,Stanton Park,"$757,939 ","$602,000 "
District Of Columbia,Shepherd Park,"$733,694 ","$657,500 "
District Of Columbia,Capitol Hill,"$730,918 ","$545,250 "
District Of Columbia,Downtown,"$702,372 ","$423,500 "
District Of Columbia,Massachusetts Avenue Heights,"$644,113 ","$365,000 "
District Of Columbia,Hill East,"$631,071 ","$675,000 "
District Of Columbia,Le Droit Park,"$628,523 ","$475,000 "
District Of Columbia,Truxton Circle,"$627,511 ","$536,500 "
District Of Columbia,Logan Circle/ Shaw,"$624,892 ","$452,000 "
District Of Columbia,Cardozo / Shaw,"$619,985 ","$517,000 "
District Of Columbia,North Cleveland Park,"$615,511 ","$385,000 "
District Of Columbia,Columbia Heights,"$589,159 ","$459,000 "
District Of Columbia,Brookland,"$579,818 ","$427,450 "
